Text
A Midrange phone from oneplus. why I choose this phone is only because of the brand value we have more other option like Vivo t1 / realme 9 /9 Pro / Oppo/ Motorola but the oneplus has their own premium feel the reason why I have given only four star.......1). The Amoled display is not there but it is not important.2) The wide angle lens is also not there.3) they have removed alert slider. Otherwise the phone is perfect I am satisfied with this device 95% you can definitely go for it. the important thing is that red cable is available which is a signature of oneplus mobile also the oxygen OS is perfect I like it and it's give extremely performance that fill you like a { Makhan Malai }.Thank you ❤️‍🔥
"Bought in big billion day sale but towards the end. My experience is when Amazon takes time in delivering a product, it will be worth it because they push bad product line in starting and immediate delivery. Gifted my mother (58years), and for an elderly person, this phone is perfect.I was initially confused whether to buy this then went for it after reading reviews that its good for elderly person.I setup the phone before giving to my mother. And I am using oneplus6t constantly since may 2019. So oneplus nord ce 2 lite felt like a power in hand. Super fluid, battery, camera, features.Although I would not recommend this phone for youngsters, but its ok if you want a budget power filled smartphone."
"I was searching a smartphone in 25-30k segment checked lot of phones but could not find a good phone with on screen FPS and dedicated sim/MC slot suddenly I checked on google that 1+ is also launching the phones with these features and then I watched an unboxing video and decided to buy this phone the brightness of the display and battery should be more good so it will be definitely more awesome but as per performance and brand of 1+ phone is good in 23000 (including cards discount) the antutu is about to 5lac when the antutu of iphone 12 (Rs 42k cost) is 6.25 lac so this deal is not bad, but if you are planing to buy so just check the phone at the showroom or on ytube."
"*Battery life is decent, if you're a heavy user you'll get a backup of 12-15hrs after 100% charge.But as I'm not a heavy user I'm getting a backup of more than 24 hrs.*Camera is also good, night mode is working good if you have a good light, if not you'll not get satisfaction.*The main issue of this phone is brightness. If you're keeping your brightness level at the lowest then you won't be able to see things properly in the night also.And outdoor you have to keep the brightness high.Which will affect your battery backup.*TIll now I have faced only one issue, which is brightness. But rest all are working fine."
"After the six months of use i would like to say it is a very good phone in this price range but within 6 month of use i am facing few problems like sometime many apps like Paytm, phonepe etc gets crashed as it is opened the contacts are not able to save as well as you cannot make calls sometimes as this app also gets crashing i have noticed this to OnePlus care also but they are clueless hope they'll soon give a update and able to fix this major problem as i don't want to do hard reset."
"First things first, this is the phone who very easily beats any redmi phone camera in this price range. So we should ignore reviews of redmi agents.Rest arePros :Clean UI,fast processing,fast charging 65 watts,display is very good,sound quality is goodCons:Back panel is plastic"
If u are not a game addict then this phone is for uhh game like bgmi nd all......battery lyf is superb.... something it slow down during online payment other than that ig does not hang
Bought this phone for my Dad who wanted to chuck away his redmi note 7. He is not a gamer and wanted a phone that doesn't hung or pop some odd instructions during UPI or credit card payments or any transactions whatsoever.  Oxygen OS is light and very user friendly. No confusions at all unlike mini for the elderly.
"Very good phone in this price range. Battery backup, camera quality, finger print reader and all features are nice. I enjoy with this phone. Thanks amazon"
Overall satisfied with the product quality and performance. Good product under this price range. The battery charging is fast and the battery backup easily lasts for a whole day with normal use ( didn't try playing heavy games)
